,num_primo
861,14591
862,14627
863,14639
864,14683
865,14699
866,14723
867,14731
868,14747
869,14759
870,14767
871,14771
872,14779
873,14783
874,14827
875,14831
876,14843
877,14851
878,14867
879,14879
880,14887
881,14891
882,14923
883,14939
884,14947
885,14951
886,14983
887,15031
888,15083
889,15091
890,15107
891,15131
892,15139
893,15187
894,15199
895,15227
896,15259
897,15263
898,15271
899,15287
900,15299
901,15307
902,15319
903,15331
904,15359
905,15383
906,15391
907,15427
908,15439
909,15443
910,15451
911,15467
912,15511
913,15527
914,15551
915,15559
916,15583
917,15607
918,15619
919,15643
920,15647
921,15667
922,15671
923,15679
924,15683
925,15727
926,15731
927,15739
928,15767
929,15787
930,15791
931,15803
932,15823
933,15859
934,15887
935,15907
936,15919
937,15923
938,15959
939,15971
940,15991
941,16007
942,16063
943,16067
944,16087
945,16091
946,16103
947,16111
948,16127
949,16139
950,16183
951,16187
952,16223
953,16231
954,16267
955,16319
956,16339
957,16363
958,16411
959,16427
960,16447
961,16451
962,16487
963,16519
964,16547
965,16567
966,16603
967,16607
968,16619
969,16631
970,16651
971,16691
972,16699
973,16703
974,16747
975,16759
976,16763
977,16787
978,16811
979,16823
980,16831
981,16843
982,16871
983,16879
984,16883
985,16903
986,16927
987,16931
988,16943
989,16963
990,16979
991,16987
992,17011
993,17027
994,17047
995,17099
996,17107
997,17123
998,17159
999,17167
1000,17183
1001,17191
1002,17203
1003,17207
1004,17231
1005,17239
1006,17291
1007,17299
1008,17327
1009,17351
1010,17359
1011,17383
1012,17387
1013,17419
1014,17431
1015,17443
1016,17467
1017,17471
1018,17483
1019,17491
1020,17519
1021,17539
1022,17551
1023,17579
1024,17599
1025,17623
1026,17627
1027,17659
1028,17683
1029,17707
1030,17747
1031,17783
1032,17791
1033,17807
1034,17827
1035,17839
1036,17851
1037,17863
1038,17891
1039,17903
1040,17911
1041,17923
1042,17939
1043,17959
1044,17971
1045,17987
1046,18043
1047,18047
1048,18059
1049,18119
1050,18127
1051,18131
1052,18143
1053,18191
1054,18199
1055,18211
1056,18223
1057,18251
1058,18287
1059,18307
1060,18311
1061,18367
1062,18371
1063,18379
1064,18427
